Roll,Filename,DateTime,Encounter,Cluster,Males,Adults,Calves,total,GPSDateTime,LAT,LONG,DatelTime...GPSTime,Year,Month,Day,Time,Hour,Min,Sec,TrueTime,Date
DSWP16,20160422_143511,22/04/16 14:35:11,23,201623007,0,1,1,2,,,,,2016,4,22,1435,14,35,11,14:35:11,4/22/2016
DSWP16,20160422_144605,22/04/16 14:46:05,23,201623008,0,1,1,2,,,,,2016,4,22,1446,14,46,5,14:46:05,4/22/2016
DSWP16,20160422_151049,22/04/16 15:10:49,23,201623009,0,1,0,1,,,,,2016,4,22,1510,15,10,49,15:10:49,4/22/2016
DSWP16,20160422_152856,22/04/16 15:28:56,23,201623010,0,1,1,2,,,,,2016,4,22,1528,15,28,56,15:28:56,4/22/2016
DSWP16,20160422_154056,22/04/16 15:40:56,23,201623011,0,1,1,2,,,,,2016,4,22,1540,15,40,56,15:40:56,4/22/2016
DSWP16,20160422_154708,22/04/16 15:47:08,23,201623012,0,0,1,1,,,,,2016,4,22,1547,15,47,8,15:47:08,4/22/2016
DSWP16,20160422_161551,22/04/16 16:15:51,23,201623013,0,1,1,2,,,,,2016,4,22,1615,16,15,51,16:15:51,4/22/2016
DSWP16,20160424_112848,24/04/16 11:28:48,24,201624002,0,3,1,4,,,,,2016,4,24,1128,11,28,48,11:28:48,4/24/2016
DSWP16,20160424_120237a_2,24/04/16 12:02:37,24,201624003,0,3,1,4,,,,,2016,4,24,1202,12,2,37,12:02:37,4/24/2016
DSWP16,20160424_122623a_2,24/04/16 12:26:23,24,201624004,0,4,1,5,,,,,2016,4,24,1226,12,26,23,12:26:23,4/24/2016
DSWP16,20160424_124921,24/04/16 12:49:21,24,201624005,0,1,0,1,,,,,2016,4,24,1249,12,49,21,12:49:21,4/24/2016
DSWP16,20160424_124950,24/04/16 12:49:50,24,201624006,0,0,1,1,,,,,2016,4,24,1249,12,49,50,12:49:50,4/24/2016
DSWP16,20160424_125645,24/04/16 12:56:45,24,201624007,0,1,0,1,,,,,2016,4,24,1256,12,56,45,12:56:45,4/24/2016
DSWP16,20160424_133452,24/04/16 13:34:52,24,201624008,0,2,1,3,,,,,2016,4,24,1334,13,34,52,13:34:52,4/24/2016
